dataset,experiment_type,accuracy,macrof1
adult,No Constraints,0.8295814010626209,0.4788238145084202
adult,All Constraints,0.8372285863456282,0.49169051219696597
adult,Positive Constraints Only,0.8363993734836154,0.4881118103310813
adult,Negative Constraints Only,0.8305027486870796,0.4819531997021289
air_quality,No Constraints,0.8839177750906893,0.5894944374031826
air_quality,All Constraints,0.905683192261185,0.6041539788875355
air_quality,Positive Constraints Only,0.905683192261185,0.6041539788875355
air_quality,Negative Constraints Only,0.8839177750906893,0.5894944374031826
auto_mpg,No Constraints,0.03571428571428571,0.0015902459276689452
auto_mpg,All Constraints,0.03826530612244898,0.001813363739154104
auto_mpg,Negative Constraints Only,0.03826530612244898,0.001813363739154104
automobile,No Constraints,0.0,0.0
automobile,All Constraints,0.0,0.0
automobile,Positive Constraints Only,0.0,0.0
automobile,Negative Constraints Only,0.0,0.0
flights,No Constraints,0.7237895158063226,0.4824659086780591
flights,All Constraints,0.7245998399359744,0.48299753639062626
flights,Positive Constraints Only,0.7269907963185274,0.48453702773630614
flights,Negative Constraints Only,0.7240696278511405,0.48260794051017947
heart_disease,No Constraints,0.7070707070707071,0.4660857719949269
heart_disease,All Constraints,0.7070707070707071,0.4660857719949269
heart_disease,Positive Constraints Only,0.7070707070707071,0.4660857719949269
heart_disease,Negative Constraints Only,0.7138047138047138,0.46973559962228517
hepatitis,No Constraints,0.825,0.3013698630136986
hepatitis,All Constraints,0.825,0.3013698630136986
hepatitis,Positive Constraints Only,0.825,0.3013698630136986
hepatitis,Negative Constraints Only,0.825,0.3013698630136986
ionosphere,No Constraints,0.7407407407407407,0.481314372659176
iris,No Constraints,0.7,0.5197120197120197
iris,All Constraints,0.7,0.5197120197120197
iris,Positive Constraints Only,0.7,0.5197120197120197
iris,Negative Constraints Only,0.7,0.5197120197120197
london,No Constraints,0.7787410897072244,0.5188275772788494
london,All Constraints,0.7846237328268751,0.5226408133607432
london,Positive Constraints Only,0.7841427620057716,0.5223657143703391
london,Negative Constraints Only,0.780405988703352,0.5200008185625937
mammographic_mass,No Constraints,0.810843373493976,0.5406533892382949
mammographic_mass,All Constraints,0.8060240963855422,0.5373761265853758
mammographic_mass,Positive Constraints Only,0.808433734939759,0.5388201369464803
mammographic_mass,Negative Constraints Only,0.8036144578313253,0.5360398860398861
monk_s_problems,No Constraints,0.7016129032258065,0.46851119894598153
monk_s_problems,All Constraints,0.7016129032258065,0.46851119894598153
monk_s_problems,Positive Constraints Only,0.7016129032258065,0.46851119894598153
monk_s_problems,Negative Constraints Only,0.6935483870967742,0.46149082061490826
spambase,No Constraints,0.9893501412736362,0.6593254461541169
spambase,All Constraints,0.9893501412736362,0.6593254461541169
spambase,Positive Constraints Only,0.9893501412736362,0.6593254461541169
spambase,Negative Constraints Only,0.9893501412736362,0.6593254461541169
students,No Constraints,0.9546517064048621,0.5088819083355669
students,All Constraints,0.9559373539036933,0.508306084132302
students,Positive Constraints Only,0.9516129032258065,0.4867641304636678
students,Negative Constraints Only,0.9530154277699859,0.4881828914216782
thoracic_surgery_data,No Constraints,0.8489361702127659,0.30609896432681244
thoracic_surgery_data,All Constraints,0.8489361702127659,0.30609896432681244
thoracic_surgery_data,Positive Constraints Only,0.8489361702127659,0.30609896432681244
thoracic_surgery_data,Negative Constraints Only,0.8489361702127659,0.30609896432681244
wine,No Constraints,0.6966292134831461,0.5201638972851403
wine,All Constraints,0.6741573033707865,0.49883255315549035
wine,Positive Constraints Only,0.7359550561797753,0.5506804144760349
wine,Negative Constraints Only,0.7134831460674157,0.5426928901641958
