dataset,constraint_config,accuracy,macrof1,constraint_violations_avoided,avg_constraint_satisfaction
adult,education-num(+),0.7485642332852185,0.6102756025113261,0,0.9475000000000001
adult,hours-per-week(+),0.7482571174103989,0.6093118476314999,0,0.9028
adult,age(-),0.7493934461472314,0.6110090092654131,0,0.7959
adult,education-num+hours-per-week(+),0.7502533705967261,0.6125200216826955,0,0.9235500000000001
adult,No Constraints,0.7482571174103989,0.6094450397022444,0,1.0
air_quality,NOx(+),0.9310761789600968,0.9310757758526154,0,0.9902
air_quality,O3(-),0.932285368802902,0.9322844777166921,0,1.0
air_quality,No Constraints,0.9274486094316807,0.9274459573273441,0,1.0
auto_mpg,weight(-),0.11479591836734694,0.027727082235259676,0,0.7982000000000002
auto_mpg,horsepower(-),0.11479591836734694,0.027749868318402565,0,0.7954000000000001
auto_mpg,weight+horsepower(-),0.11479591836734694,0.02764342341334076,0,0.78625
auto_mpg,No Constraints,0.11479591836734694,0.027767262534499886,0,1.0
automobile,engine-size(+),0.01875,0.008121330724070452,0,0.8286000000000001
automobile,highway-mpg(-),0.01875,0.008121330724070452,0,0.8422
automobile,No Constraints,0.01875,0.008121330724070452,0,1.0
flights,Distance(+),0.6998199279711885,0.699805871966237,0,0.7441999999999999
flights,Origin_Latitude(+),0.6987995198079232,0.698783278585948,0,0.7158000000000001
flights,Month(+),0.6989595838335334,0.6989443954722503,0,1.0
flights,Distance(-),0.699719887955182,0.6996997780619146,0,0.77
flights,Origin_Latitude(-),0.6995798319327731,0.6995622814657518,0,0.8218000000000001
flights,Distance+Airline+FlightNum(+),0.6994597839135654,0.6994460383245744,0,0.7155000000000001
flights,DayOfWeek+Month+Year(-),0.6994797919167667,0.6994673177671931,0,1.0
flights,No Constraints,0.6998299319727891,0.6998155872639594,0,1.0
heart_disease,thalach(+),0.8013468013468014,0.7972930765226445,0,0.6555999999999998
heart_disease,age(-),0.7946127946127947,0.7904216553878189,0,0.7182
heart_disease,chol(-),0.8047138047138047,0.8009199334319528,0,0.7381999999999997
