Case,Model,Constraint,Parameter,final_online_accuracy_mean,final_online_accuracy_std,final_online_accuracy_min,final_online_accuracy_max,final_online_macrof1_mean,final_online_macrof1_std,final_online_macrof1_min,final_online_macrof1_max,final_online_weightedf1_mean,final_online_weightedf1_std,final_online_weightedf1_min,final_online_weightedf1_max,final_online_cohenkappa_mean,final_online_cohenkappa_std,final_online_cohenkappa_min,final_online_cohenkappa_max
strict_positive,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.980064,0.01780756872793139,0.9208,0.9998,0.5073938628957545,0.026743632130769718,0.4906275468622656,0.6901119415832838,0.9714440327278608,0.024412649892314297,0.9003990811591582,0.999899989999,0.0228700794426014,0.05613412530722154,-0.0015676711374352816,0.3904867917256432
positive_noisy,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.662672,0.007666212624236294,0.6414,0.6798,0.6625107268910293,0.007705620026593184,0.6410897723556332,0.6797805178467058,0.662618797856176,0.007685912841845126,0.6412586037267173,0.6797965032032549,0.32507236955703367,0.015389082502441797,0.2823085248778363,0.35956229102769555
strict_negative,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.9802599999999999,0.017810592353989792,0.921,1.0,0.5124361921879309,0.05586519015438274,0.49067943363553024,1.0,0.9715425438248896,0.024410016564147374,0.9005481330651804,1.0,0.02321378922517743,0.056274001357575126,-0.0011817226890701252,0.3912790475474254
opposing_trend,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.661838,0.008277907706661144,0.6454,0.6778,0.6616836201530716,0.008312667451513335,0.6447951911523052,0.6776578471105758,0.6617903213340355,0.008292989354388608,0.6452550819224165,0.6777336619849353,0.3234159853348777,0.016610879295714948,0.2896645998964745,0.35537763106761294
strict_positive,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.980064,0.01780756872793139,0.9208,0.9998,0.5073938628957545,0.026743632130769718,0.4906275468622656,0.6901119415832838,0.9714440327278608,0.024412649892314297,0.9003990811591582,0.999899989999,0.0228700794426014,0.05613412530722154,-0.0015676711374352816,0.3904867917256432
positive_noisy,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.662672,0.007666212624236294,0.6414,0.6798,0.6625107268910293,0.007705620026593184,0.6410897723556332,0.6797805178467058,0.662618797856176,0.007685912841845126,0.6412586037267173,0.6797965032032549,0.32507236955703367,0.015389082502441797,0.2823085248778363,0.35956229102769555
strict_negative,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.980252,0.017826129585526967,0.921,1.0,0.512493847666277,0.055899805595616886,0.4907313098390711,1.0,0.971537734293203,0.024428105168803928,0.9005481330651804,1.0,0.023321082241607272,0.05639008797726199,-0.0011772231509797467,0.3912790475474254
opposing_trend,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.661838,0.008277907706661144,0.6454,0.6778,0.6616836201530716,0.008312667451513335,0.6447951911523052,0.6776578471105758,0.6617903213340355,0.008292989354388608,0.6452550819224165,0.6777336619849353,0.3234159853348777,0.016610879295714948,0.2896645998964745,0.35537763106761294
strict_positive,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.980056,0.01782311039072586,0.9208,0.9998,0.5074506171212605,0.026825137875677647,0.49067943363553024,0.6901119415832838,0.9714392041476926,0.02443069839013029,0.9003990811591582,0.999899989999,0.022975740567126476,0.05624818557702616,-0.0015597624033179555,0.3904867917256432
positive_noisy,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.662672,0.007666212624236294,0.6414,0.6798,0.6625107268910293,0.007705620026593184,0.6410897723556332,0.6797805178467058,0.662618797856176,0.007685912841845126,0.6412586037267173,0.6797965032032549,0.32507236955703367,0.015389082502441797,0.2823085248778363,0.35956229102769555
strict_negative,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.9802599999999999,0.017810592353989792,0.921,1.0,0.5124361921879309,0.05586519015438274,0.49067943363553024,1.0,0.9715425438248896,0.024410016564147374,0.9005481330651804,1.0,0.02321378922517743,0.056274001357575126,-0.0011817226890701252,0.3912790475474254
opposing_trend,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.661838,0.008277907706661144,0.6454,0.6778,0.6616836201530716,0.008312667451513335,0.6447951911523052,0.6776578471105758,0.6617903213340355,0.008292989354388608,0.6452550819224165,0.6777336619849353,0.3234159853348777,0.016610879295714948,0.2896645998964745,0.35537763106761294
strict_positive,Majority,None,Buffer=5,0.97921,0.020214517060766008,0.8904,0.9998,0.49510182230504995,0.004483527634045889,0.4778715654267526,0.49994999499949994,0.9695943689501602,0.029026985618971112,0.8486083656174335,0.999899989999,-0.00028215940412990096,0.002442243886916704,-0.006115155258121127,0.016505871512540845
strict_positive,Majority,None,Buffer=20,0.9795320000000001,0.019446135245852838,0.8984,0.9998,0.49483970155332196,0.005039959221258154,0.47324062368310155,0.49994999499949994,0.969704713346361,0.028805439054885466,0.85050804888327,0.999899989999,-0.00026928815785120093,0.0011003459192041759,-0.00039937203277181586,0.01066819588533239
